id,subject,body,customer_id,customer_tier,true_label,true_priority,true_response
1,Payment failed - card declined,I tried to renew my subscription but my card was declined. Can you help me complete this transaction?,C1,premium,billing,high,Thank you for reporting. We'll help you resolve the payment issue. Please try a different card or contact your bank for assistance.
2,App crashes on login screen,Every time I try to log in the app shows a white screen and crashes. This started happening today.,C2,free,technical,medium,Thank you for reporting. We're investigating this issue. Try clearing your app cache and reinstalling if possible.
3,Refund request for recent purchase,I purchased the annual plan last week but it's not what I expected. I'd like a refund.,C1,premium,billing,high,We can process a refund. Our team will contact you within 24 hours to confirm.
4,Request: Dark mode feature,The app would be so much better with a dark mode. My eyes hurt when using it at night.,C3,free,feature,low,Great suggestion! We've added this to our product roadmap. We'll notify you when it's released.
5,Account locked due to suspicious activity,I can't log in to my account. It says suspicious activity was detected. I haven't done anything unusual. How do I unlock it?,C4,premium,technical,high,For security reasons we've locked your account temporarily. Click the link in your email to verify your identity and regain access.
6,Unexpected billing charge,I was charged twice this month. The invoice shows two separate charges for the same date. Please explain what happened and issue a refund.,C5,enterprise,billing,high,We sincerely apologize for the duplicate charge. We've immediately issued a refund. You should see it in 3-5 business days.
7,API integration failing urgently,We've been trying to integrate your API for 2 days. Getting 500 errors on every request to /v2/users endpoint. This is blocking our product launch. URGENT!,C6,enterprise,technical,high,We've escalated this to our engineering team immediately. Our lead engineer will contact you in the next 30 minutes.
8,How to export my data,How do I export my data from the platform? I need to share my usage statistics with my team.,C7,free,general,low,You can export your data by going to Settings > Data Export. We support CSV and JSON formats.
9,Feature suggestion - Bulk import,Would love to see bulk upload feature. Currently I have to add 100 items one by one. That's very time consuming.,C3,premium,feature,medium,Thank you for the suggestion. We're considering bulk operations for our next quarter. Your feedback helps us prioritize!
10,Cannot reset password,I forgot my password and tried to reset it. I never get the reset email. I've checked spam folder too.,C8,free,technical,medium,Let's troubleshoot this. Try requesting the reset again and check all folders. Try an alternative email if available.
11,Pricing plans are too expensive,Your pricing plans are way too expensive compared to competitors. I need a more affordable option.,C9,free,billing,medium,Thank you for the feedback. We offer flexible plans. Let's discuss your requirements with our sales team.
12,Missing features in free tier,I expected more features in the free tier. It's too limited for my needs.,C10,free,feature,low,The free tier is introductory. Our paid plans offer much more functionality that would suit your needs better.
13,Server performance is slow,The application has been extremely slow today. Pages take 10+ seconds to load.,C4,premium,technical,high,We're investigating the server performance issues immediately. Our team is working on it. Thank you for your patience.
14,Tax receipt needed,I need a tax receipt for my recent purchase. Can you send one to my email?,C11,premium,billing,low,Of course! We'll send your tax receipt within 24 hours. Thank you for being a valued customer.
15,Integration with third-party tool,Does your platform integrate with Salesforce? We need this functionality.,C12,enterprise,feature,medium,Great question! We have Salesforce integration in our roadmap. Contact our sales team to discuss enterprise solutions.
16,User interface is confusing,Your UI is really confusing. I can't find basic functions. Needs better UX design.,C2,free,feature,low,Thank you for the feedback. We're redesigning the interface for better usability. Updates coming in the next release.
17,Mobile app keeps crashing,Using the mobile app on iOS and it keeps crashing when I try to upload files.,C5,premium,technical,high,Sorry to hear! This is a known issue. A fix is coming in our next update. Please try the web version for now.
18,Renewal reminder too aggressive,I got 10 renewal reminders today. This is spam. Please stop.,C13,free,general,low,We apologize for the notification overload. Please adjust notification settings in your account preferences.
19,Billing address needs update,I moved recently and need to update my billing address on file.,C14,premium,billing,low,You can update your billing address in Account Settings > Billing. Let us know if you need any assistance.
20,Need enterprise pricing quote,We're considering your platform for our entire company. Need a customized enterprise plan and pricing.,C15,enterprise,billing,high,We're excited to work with your company! Our sales team will contact you within 24 hours with a custom quote.
21,Service went down during critical time,Your service was down for 2 hours during our peak business time. We need 99.9% uptime guaranteed.,C6,enterprise,technical,high,We're very sorry for the downtime. Our engineering team has identified the issue and we've implemented fixes. Let's schedule a call.
22,Wrong plan charged to account,I signed up for the Basic plan but was charged for Premium. Can you fix this?,C7,free,billing,high,We apologize for the billing error. We're reverting you to the Basic plan and processing a refund immediately.
23,Feature not working as documented,The bulk import feature doesn't work like the documentation says. Need assistance.,C8,premium,technical,medium,Thank you for reporting. There's a discrepancy between our docs and current implementation. Our team will fix this soon.
24,Referral program question,How does your referral program work? I'd like to earn rewards for referring friends.,C16,free,general,low,Great! Refer friends and earn $10 credits per signup. Check your account dashboard for referral links.
25,Subscription cancellation,I want to cancel my subscription. I'm not using it anymore.,C17,premium,billing,medium,We'll process your cancellation. Please note you'll lose access at the end of your billing period. Anything we can improve?
